EPCI	CAPACITE 2022	OUVERTURES 2022	FERMETURES 2021	EVOL NB	EVOL 2022-2021 %
CC Cœur de Charente	131	8	8	0	0
CC des 4B Sud Charente	198	16	33	-17	-0.0790697674418605
CA du Grand Angoulême	199	0	31	-31	-0.134782608695652
CA du Grand Cognac	397	37	20	17	0.0447368421052632
CC Lavalette Tude Dronne	167	25	47	-22	-0.116402116402116
CC du Rouillacais	85	13	0	13	0.180555555555556
CC Val de Charente	59	4	18	-14	-0.191780821917808
CC Aunis Sud	127	0	56	-56	-0.306010928961749
CC de la Haute Saintonge	395	32	79	-47	-0.106334841628959
CC Aunis Atlantique	105	25	0	25	0.3125
CC Vals de Saintonge Communauté	190	6	83	-77	-0.288389513108614
CA Royan Atlantique	411	23	57	-34	-0.0764044943820225
CC de l'Île de Ré	187	8	31	-23	-0.10952380952381
CA Rochefort Océan	131	16	18	-2	-0.0150375939849624
CC du Bassin de Marennes	161	4	30	-26	-0.13903743315508
CA de La Rochelle	360	56	26	30	0.0909090909090908
CA de Saintes	105	18	6	12	0.129032258064516
CC de l'Île d'Oléron	319	74	48	26	0.0887372013651877
CC Cœur de Saintonge	153	21	4	17	0.125
CC de Gémozac et de la Saintonge Viticole	145	6	4	2	0.013986013986014
CC Terres du Haut Berry	300	13	14	-1	-0.00332225913621265
CC Berry Grand Sud	307	21	5	16	0.0549828178694158
CC Portes du Berry entre Loire et Val d'Aubois	57	0	10	-10	-0.149253731343284
CC Sauldre et Sologne	198	6	27	-21	-0.0958904109589042
CC Pays Fort Sancerrois Val de Loire	394	12	38	-26	-0.0619047619047619
CC Les Trois Provinces	101	0	4	-4	-0.0380952380952381
CC Le Dunois	15	0	0	0	0
CC La Septaine	136	0	0	0	0
CC Berry-Loire-Vauvise	53	0	0	0	0
CA Bourges Plus	123	0	29	-29	-0.190789473684211
CC Cœur de France	99	0	12	-12	-0.108108108108108
CC Pays de Nérondes	12	0	0	0	0
CC Cœur de Berry	152	0	0	0	0
CC Arnon Boischaut Cher	113	3	67	-64	-0.361581920903955
CC Les Bertranges	47	0	0	0	0
CC du Pays d'Issoudun	41	6	11	-5	-0.108695652173913
CC Vierzon-Sologne-Berry	258	4	19	-15	-0.054945054945055
CC FerCher	75	0	0	0	0
CC Vézère-Monédières-Millesources	87	2	33	-31	-0.26271186440678
CC Haute-Corrèze Communauté	391	24	19	5	0.0129533678756477
CC Midi Corrézien	496	42	30	12	0.024793388429752
CC Xaintrie Val'Dordogne	340	12	7	5	0.0149253731343284
CA du Bassin de Brive	523	18	48	-30	-0.054249547920434
CA Tulle Agglo	417	22	24	-2	-0.00477326968973746
CC du Pays de Lubersac-Pompadour	153	0	5	-5	-0.0316455696202531
CC de Ventadour - Egletons - Monédières	227	26	8	18	0.0861244019138756
CC du Pays d'Uzerche	171	5	0	5	0.0301204819277108
CC du Pays Châtillonnais	364	16	24	-8	-0.021505376344086
CC de la Plaine Dijonnaise	54	0	4	-4	-0.0689655172413793
CC du Pays d'Alésia et de la Seine	138	14	0	14	0.112903225806452
CC Mirebellois et Fontenois	97	4	0	4	0.043010752688172
CC de Gevrey-Chambertin et de Nuits-Saint-Georges	205	0	12	-12	-0.0552995391705069
CC de Pouilly-en-Auxois/Bligny-sur-Ouche	257	64	31	33	0.147321428571429
CC des Terres d'Auxois	166	0	0	0	0
CC Ouche et Montagne	45	12	6	6	0.153846153846154
CC Auxonne Pontailler Val de Saône	73	0	0	0	0
CC Rives de Saône	34	6	20	-14	-0.291666666666667
CC du Pays Arnay Liernais	78	0	15	-15	-0.161290322580645
CA Beaune. Côte et Sud - Communauté Beaune-Chagny-Nolay	695	4	76	-72	-0.0938722294654498
CC Norge et Tille	20	0	3	-3	-0.130434782608696
CC Tille et Venelle	88	0	4	-4	-0.0434782608695652
Dijon Métropole	111	18	25	-7	-0.059322033898305
CC du Montbardois	55	0	0	0	0
CC des Vallées de la Tille et de l'Ignon	57	0	0	0	0
CC de Saulieu	56	0	3	-3	-0.0508474576271186
CC Forêts. Seine et Suzon	149	0	6	-6	-0.0387096774193548
CC Loudéac Communauté - Bretagne Centre	196	4	28	-24	-0.109090909090909
CA Lamballe Terre et Mer	1129	59	203	-144	-0.11311861743912
CA Dinan Agglomération	915	61	129	-68	-0.069175991861648
CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat	634	78	150	-72	-0.101983002832861
CA Lannion-Trégor Communauté	2390	199	410	-211	-0.0811226451364859
CC Leff Armor Communauté	332	16	61	-45	-0.119363395225464
Sans objet	28	0	10	-10	-0.263157894736842
CC du Kreiz-Breizh (CCKB)	72	4	20	-16	-0.181818181818182
CA Saint-Brieuc Armor Agglomération	601	62	62	0	0
CC Côte d'Émeraude	214	12	66	-54	-0.201492537313433
CC Creuse Sud Ouest	415	18	58	-40	-0.0879120879120879
CA du Grand Guéret	180	39	242	-203	-0.530026109660574
CC de Bénévent Grand Bourg	101	12	2	10	0.10989010989011
CC du Pays Sostranien	54	11	22	-11	-0.169230769230769
CC Marche et Combraille en Aquitaine	194	11	22	-11	-0.0536585365853659
CC Creuse Grand Sud	203	0	16	-16	-0.0730593607305936
CC du Pays Dunois	165	4	4	0	0
CC Creuse Confluence	238	22	6	16	0.072072072072072
CC Portes de la Creuse en Marche	77	22	12	10	0.149253731343284
CA Le Grand Périgueux	276	43	24	19	0.0739299610894941
CC Terrassonnais Haut Périgord Noir	197	37	0	37	0.23125
CC des Bastides Dordogne-Périgord	393	33	45	-12	-0.0296296296296297
CC Vallée de la Dordogne et Forêt Bessède	163	29	0	29	0.216417910447761
CC du Périgord Ribéracois	69	0	0	0	0
CC Isle-Loue-Auvézère en Périgord	244	0	11	-11	-0.0431372549019607
CC du Pays de Fénelon	463	67	34	33	0.0767441860465117
CC de la Vallée de l'Homme	293	46	27	19	0.0693430656934306
CC de Portes Sud Périgord	71	53	0	53	2.94444444444444
CA Bergeracoise	176	37	16	21	0.135483870967742
CC de Domme-Villefranche du Périgord	373	76	6	70	0.231023102310231
CC Sarlat-Périgord Noir	447	22	38	-16	-0.0345572354211663
CC Isle et Crempse en Périgord	63	0	0	0	0
CC Dronne et Belle	85	18	8	10	0.133333333333333
CC Périgord-Limousin	10	6	4	2	0.25
CC Isle Double Landais	18	0	0	0	0
CC Isle Vern Salembre en Périgord	48	0	0	0	0
