url_chaine	nom chaine	url groupe	nom groupe
https://hotels.ctrip.com/brand/h1983/	The Edinburgh Collection	https://hotels.ctrip.com/brand/g1212	爱丁堡集团
https://hotels.ctrip.com/brand/h2020/	奥比酒店集团	https://hotels.ctrip.com/brand/g1239	奥比酒店集团
https://hotels.ctrip.com/brand/h2022/	Aeroviaggi	https://hotels.ctrip.com/brand/g1241	天空旅行
https://hotels.ctrip.com/brand/h2024/	Avari Hotels	https://hotels.ctrip.com/brand/g1252	Avari Hotels
https://hotels.ctrip.com/brand/h2027/	Accent Hotels	https://hotels.ctrip.com/brand/g1245	Accent Hotels
https://hotels.ctrip.com/brand/h2031/	Artery Hotels	https://hotels.ctrip.com/brand/g1249	Artery Hotels
https://hotels.ctrip.com/brand/h2036/	Ambient	https://hotels.ctrip.com/brand/g1255	Ambient
https://hotels.ctrip.com/brand/h2075/	Abba Hotels	https://hotels.ctrip.com/brand/g1292	Abba Hotels
https://hotels.ctrip.com/brand/h2088/	AHotel	https://hotels.ctrip.com/brand/g1303	AHotel
https://hotels.ctrip.com/brand/h2102/	AS Hotels	https://hotels.ctrip.com/brand/g1317	AS Hotels
https://hotels.ctrip.com/brand/h2109/	Appart'City	https://hotels.ctrip.com/brand/g1324	Appart'City
https://hotels.ctrip.com/brand/h2124/	Adonis Hotels & Residences	https://hotels.ctrip.com/brand/g1340	Adonis Hotels & Residences
https://hotels.ctrip.com/brand/h2146/	ALTIDO	https://hotels.ctrip.com/brand/g1364	ALTIDO
https://hotels.ctrip.com/brand/h2154/	Axia	https://hotels.ctrip.com/brand/g1372	Axia
https://hotels.ctrip.com/brand/h2187/	Access Hotels & Resorts	https://hotels.ctrip.com/brand/g1403	Access Hotels & Resorts
https://hotels.ctrip.com/brand/h2190/	Alterra Mountain Inn/Alterra Mountain Inn	https://hotels.ctrip.com/brand/g1406	Alterra Mountain Inn/Alterra Mountain Inn
https://hotels.ctrip.com/brand/h2192/	Ayres Hotels	https://hotels.ctrip.com/brand/g1408	Ayres Hotels
https://hotels.ctrip.com/brand/h2196/	AX Hotels Malta	https://hotels.ctrip.com/brand/g1410	AX Hotels Malta
